套装类型,单箱数量,长(cm),宽(cm),高(cm),采购单价,申报单价,单产品重量(kg),净重(kg),毛重(kg),图片
十八件套,4,59,45,38,30,31,4.35,18.5,19.48,./basic_data/picture/18set.jpg
十二毛巾-6,6,45.5,29.5,39,15,16,1.7,12,12.87,./basic_data/picture/12hand.jpg
十二毛巾-10,10,59,38.5,39,15,16,1.7,21,21.86,./basic_data/picture/12hand.jpg
八件套,10,59,38.5,39,15,16,1.7,17,18,./basic_data/picture/8set.jpg
四浴巾,6,59,38.5,39,20,21,2.25,13.5,14.57,./basic_data/picture/4bath.jpg
十二件套,6,59,38.5,39,25,26,2.93,19.6,20.58,./basic_data/picture/12set.jpg
四毛巾,22,47,43.5,39,5,6,0.74,17,17.78,./basic_data/picture/4hand.jpg
六毛巾,16,47,43.5,39,5,6,0.89,18,18.51,./basic_data/picture/6hand.jpg
一浴巾,22,47,43.5,39,5,6,0.68,15,15,./basic_data/picture/1bath.jpg
十二方巾,22,47,43.5,39,5,6,0.85,18.8,19.49,./basic_data/picture/12wash.jpg
地巾,20,54,41,53,7,8,0.95,19,19.8,./basic_data/picture/mat.jpg
一毛巾,50,45.5,38,41,1,2,0.34,17,17.9,./basic_data/picture/1hand.jpg
LF-十八件套,4,59,38,45,35,36,5.25,21,22,./basic_data/picture/LF-18set.jpg
LF-六件套,8,56.5,38,50,16,17,2.2,17.6,18.6,./basic_data/picture/LF-6set.jpg
BST-六件套,10,57.5,36.5,38.8,14,15,1.66,16.6,17.6,./basic_data/picture/BST-6set.jpg
